Niveau,Nom du niveau,Titre de l'étape,Médaille,Texte du défi,Conseil,Vidéo,Illustration,Description,Fonctionnalités sociales
1,Premiers échanges,Découverte de la raquette,Raquette de bronze,Tenir la raquette correctement et réaliser quelques coups droits,"Détends-toi, tiens ta raquette comme si tu tenais un micro.",https://www.youtube.com/watch?v=V_Gqgbk7Yxw,https://unsplash.com/fr/photos/une-paire-de-raquettes-et-de-balles-de-tennis-au-sol-wek3awxOnAA,Tenir la raquette correctement et réaliser quelques coups droits,Oui
1,Premiers échanges,Coup droit de base,Raquette de bronze,Faire 10 échanges simples en coup droit,"Place-toi bien de profil, et accompagne la balle avec ton bras.",https://www.youtube.com/watch?v=V_Gqgbk7Yxw,https://unsplash.com/fr/photos/un-homme-tenant-une-raquette-de-tennis-sur-le-dessus-dun-court-de-tennis-8UHgy1A-MS4,Faire 10 échanges simples en coup droit,Oui
1,Premiers échanges,Rebond au sol,Raquette de bronze,Faire rebondir la balle et la frapper après un rebond,"Sois patient·e, laisse la balle rebondir une fois et frappe au bon moment.",https://www.youtube.com/watch?v=V_Gqgbk7Yxw,https://unsplash.com/fr/photos/personne-tenant-une-raquette-de-tennis-sZKLku0YnFM,Faire rebondir la balle et la frapper après un rebond,Oui
2,Positionnement,Connaître la position d’attente,Raquette argent,Adopter une position d’attente stable et mobile,"Fléchis légèrement les genoux, raquette devant toi, prêt·e à bondir !",https://www.youtube.com/watch?v=WpMZ5AE-QjQ,https://unsplash.com/fr/photos/un-homme-et-une-femme-se-serrant-la-main-sur-un-court-de-tennis-ZO4pHKtpn4c,Adopter une position d’attente stable et mobile,Oui
2,Positionnement,Se placer derrière la balle,Raquette argent,Anticiper la trajectoire et se placer correctement,"Lis la balle et déplace-toi avant de frapper, pas après !",https://www.youtube.com/watch?v=WpMZ5AE-QjQ,https://unsplash.com/fr/photos/un-homme-tenant-une-raquette-de-tennis-sur-un-court-de-tennis-aYTK2HNocNw,Anticiper la trajectoire et se placer correctement,Oui
2,Positionnement,Changer de zone,Raquette argent,Apprendre à se replacer après chaque frappe,"Ne reste jamais figé après un coup, replace-toi au centre de ta zone.",https://www.youtube.com/watch?v=WpMZ5AE-QjQ,https://unsplash.com/fr/photos/un-homme-tenant-une-raquette-de-tennis-sur-le-dessus-dun-court-de-tennis-iOW2nBNhUhM,Apprendre à se replacer après chaque frappe,Oui
3,Mur et vitres,Jouer avec les murs,Mur d’or,Faire 5 frappes après un rebond sur la vitre,"Utilise la vitre comme ton alliée, pas comme ton ennemie !",https://www.youtube.com/watch?v=lOHG9bYjjAU,https://unsplash.com/fr/photos/un-homme-tenant-une-raquette-de-tennis-sur-un-court-de-tennis-OHau1zi6oLc,Faire 5 frappes après un rebond sur la vitre,Oui
3,Mur et vitres,Lire les rebonds,Mur d’or,Observer les trajectoires après le mur,"Fixe la balle dès qu'elle touche la vitre, et positionne-toi à l’avance.",https://www.youtube.com/watch?v=lOHG9bYjjAU,https://unsplash.com/fr/photos/un-homme-tenant-une-raquette-de-tennis-sur-le-dessus-dun-court-de-tennis--NyDs6kk1JA,Observer les trajectoires après le mur,Oui
3,Mur et vitres,Frapper après rebond,Mur d’or,Enchaîner réception + frappe après vitre,"Garde ton calme et ton timing, c’est la clé !",https://www.youtube.com/watch?v=lOHG9bYjjAU,https://unsplash.com/fr/photos/un-homme-tenant-une-raquette-de-tennis-et-une-balle-de-tennis-6wYLPdUlqo8,Enchaîner réception + frappe après vitre,Oui
4,Volées,Volée coup droit,Volée d’élite,Faire 10 volées sans rebond côté coup droit,"Reste près du filet, prise ferme mais relax.",https://www.youtube.com/watch?v=nH4sWMuVYGo,https://unsplash.com/fr/photos/un-joueur-de-tennis-tend-la-main-pour-frapper-une-balle-ScuN2Puav48,Faire 10 volées sans rebond côté coup droit,Oui
4,Volées,Volée revers,Volée d’élite,Idem côté revers,Tourne les épaules et bloque le poignet pour plus de contrôle.,https://www.youtube.com/watch?v=nH4sWMuVYGo,https://unsplash.com/fr/photos/une-jeune-femme-tenant-une-raquette-de-tennis-sur-un-court-de-tennis-WnxmzCNuDmU,Idem côté revers,Oui
4,Volées,Volée + replacement,Volée d’élite,Frapper puis revenir rapidement au centre,"Ta volée est bonne, ton replacement encore mieux.",https://www.youtube.com/watch?v=nH4sWMuVYGo,https://unsplash.com/fr/photos/fille-en-t-shirt-rouge-et-pantalon-noir-courant-sur-le-sol-bleu-ArI-foyWnfA,Frapper puis revenir rapidement au centre,Oui
5,Match en vue,Service réglementaire,Service gagnant,Servir selon les règles du padel (rebound + frappe en-dessous de la ceinture),"Frappe détendue et précise, vise la diagonale.",https://www.youtube.com/watch?v=rFQmViYHIW8,https://unsplash.com/fr/photos/un-homme-tenant-une-raquette-de-tennis-sur-le-dessus-dun-court-de-tennis-KBMbXJJYaqA,Servir selon les règles du padel (rebound + frappe en-dessous de la ceinture),Oui
5,Match en vue,Jeu croisé,Service gagnant,Faire 10 échanges croisés en sécurité,"Cherche les angles, fais courir ton adversaire !",https://www.youtube.com/watch?v=rFQmViYHIW8,https://unsplash.com/fr/photos/femme-en-debardeur-rouge-et-short-noir-tenant-une-raquette-de-tennis-y-0czHMT6VI,Faire 10 échanges croisés en sécurité,Oui
5,Match en vue,Petite opposition,Service gagnant,Faire un point avec un partenaire en conditions réelles,"Reste fun et fair-play, c’est comme ça qu’on progresse !",https://www.youtube.com/watch?v=rFQmViYHIW8,https://unsplash.com/fr/photos/un-homme-tenant-une-raquette-de-tennis-sur-le-dessus-dun-court-de-tennis-t1SqH-OHLDo,Faire un point avec un partenaire en conditions réelles,Oui